Image Alt,Image Src
Western Kentucky Hilltoppers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cleveland State Vikings,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/325.png&scale=crop&cquality=40&location=origin&w=80&h=80
Detroit Mercy Titans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2174.png&scale=crop&cquality=40&location=origin&w=80&h=80
Green Bay Phoenix,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2739.png&scale=crop&cquality=40&location=origin&w=80&h=80
IU Indianapolis Jaguars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/85.png&scale=crop&cquality=40&location=origin&w=80&h=80
Milwaukee Panthers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/270.png&scale=crop&cquality=40&location=origin&w=80&h=80
Northern Kentucky Norse,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/94.png&scale=crop&cquality=40&location=origin&w=80&h=80
Oakland Golden Grizzlies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2473.png&scale=crop&cquality=40&location=origin&w=80&h=80
Purdue Fort Wayne Mastodons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2870.png&scale=crop&cquality=40&location=origin&w=80&h=80
Robert Morris Colonials,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&scale=crop&cquality=40&location=origin&w=80&h=80
Wright State Raiders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2750.png&scale=crop&cquality=40&location=origin&w=80&h=80
Youngstown State Penguins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2754.png&scale=crop&cquality=40&location=origin&w=80&h=80
Brown Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/225.png&scale=crop&cquality=40&location=origin&w=80&h=80
Columbia Lions,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/171.png&scale=crop&cquality=40&location=origin&w=80&h=80
Cornell Big Red,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/172.png&scale=crop&cquality=40&location=origin&w=80&h=80
Dartmouth Big Green,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/159.png&scale=crop&cquality=40&location=origin&w=80&h=80
Harvard Crimson,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/108.png&scale=crop&cquality=40&location=origin&w=80&h=80
Pennsylvania Quakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/219.png&scale=crop&cquality=40&location=origin&w=80&h=80
Princeton Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png&scale=crop&cquality=40&location=origin&w=80&h=80
Yale Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png&scale=crop&cquality=40&location=origin&w=80&h=80
